Name,District-ID,District,Cordenate-X,Cordenate-Y,latitude,longitude,Type
Universidad Complutense de Madrid. Facultad de Veterinaria,9.0,moncloa-aravaca,437639.0,4477680.0,4044959367195720,-37383172430653904,University
Universidad Complutense. Hospital Clínico Veterinario,9.0,moncloa-aravaca,437749.0,4477887.0,4045021458286800,-37400222312945400,University
Universidad Nacional de Educación a Distancia (UNED). Centro Asociado Madrid - Escuelas Pías,1.0,centro,440385.0,4473256.0,4040778683673910,-370260366801384,University
Universidad Nacional de Educación a Distancia (UNED). Centro Asociado Madrid - Gregorio Marañón,1.0,centro,440590.0,4473327.0,4040844116636760,-370018265811484,University
Universidad Nacional de Educación a Distancia (UNED). Centro Asociado Madrid - Jacinto Verdaguer,10.0,latina,433584.0,4470532.0,4038272436710470,-3782454044817050,University
Universidad Nacional de Educación a Distancia (UNED). Centro Asociado Madrid - Las Tablas,8.0,fuencarral-el pardo,443582.0,4484002.0,405048148552007,-36658711721100400,University
Universidad Nacional de Educación a Distancia (UNED). Centro Universitario de Idiomas a Distancia (CUID),8.0,fuencarral-el pardo,443582.0,4484002.0,40504821065488,-36658596724706096,University
Universidad Politécnica de Madrid. Escuela Técnica Superior de Arquitectura,9.0,moncloa-aravaca,437947.0,4476747.0,4043905709683510,-37316634010765296,University
Universidad Politécnica de Madrid. Escuela Técnica Superior de Edificación,9.0,moncloa-aravaca,437921.0,4476715.0,4043875780503790,-3731978507643710,University
Universidad Politécnica de Madrid. Escuela Técnica Superior de Ingeniería Aeronáutica y del Espacio,9.0,moncloa-aravaca,438543.0,4476956.0,404409841121871,-3724656751216630,University
"Universidad Politécnica de Madrid. Escuela Técnica Superior de Ingeniería Agronómica, Alimentaria y de Biosistemas",9.0,moncloa-aravaca,438252.0,4476949.0,40440899945359296,-3728076234171520,University
Universidad Politécnica de Madrid. Escuela Técnica Superior de Ingeniería Civil,3.0,retiro,441586.0,4473438.0,4040950251823440,-3688466890966940,University
"Universidad Politécnica de Madrid. Escuela Técnica Superior de Ingeniería de Montes, Forestal y del Medio Natural",9.0,moncloa-aravaca,438562.0,4477788.0,40448485414321800,-3724507841206360,University
Universidad Politécnica de Madrid. Escuela Técnica Superior de Ingeniería de Sistemas Informáticos,14.0,moratalaz,444288.0,4473008.0,4040582313350450,-36565743766748800,University
Universidad Politécnica de Madrid. Escuela Técnica Superior de Ingeniería y Diseño Industrial,2.0,arganzuela,440552.0,4472992.0,4040541152859580,-37006108767868304,University
Universidad Politécnica de Madrid. Escuela Técnica Superior de Ingeniería y Sistemas de Telecomunicación,14.0,moratalaz,444288.0,4473008.0,4040582313350450,-36565743766748800,University
"Universidad Politécnica de Madrid. Escuela Técnica Superior de Ingenieros de Caminos, Canales y Puertos",9.0,moncloa-aravaca,437903.0,4478029.0,4044872058026010,-37335842412329600,University
Universidad Politécnica de Madrid. Escuela Técnica Superior de Ingenieros de Minas y Energía,7.0,chamberi,440603.0,4477062.0,4044207963042670,-37003900716027696,University
