 ID-EVENTO,Title,District,X-coordinate,Y-coordinate,Latitude,Length,Type
11897960,La hoja. Una intervención en el espacio de FAHR 021.3,unknown,Unknown,Unknown,Unknown,Unknown,['ProgramacionDestacadaAgendaCultura']
11926005,La hora del cuento,usera,441188.0,4469184.0,403711623444796.0,-3692742821990010.0,['CuentacuentosTiteresMarionetas']
11785047,La hora del cuento en  Mario Vargas LLosa,centro,440645.0,4475347.0,4.04266422153681e+16,-3699722994908340.0,['CuentacuentosTiteresMarionetas']
11594640,La Hora del cuento en María Zambrano,tetuan,440857.0,4480052.0,4046903299144090.0,-3.69766200679649e+16,['CuentacuentosTiteresMarionetas']
11937152,La increíble historia de Elzéar Duquette,latina,433622.0,4470101.0,4.03788537971283e+16,-3.78196161130321e+16,['TeatroPerformance']
11790598,La invasión francesa y el 2 de mayo de 1808,fuencarral-el pardo,439894.0,4481167.0,4047900813206290.0,-3709138377702430.0,['ConferenciasColoquios']
11950888,La Invitación,arganzuela,440946.0,4471422.0,4039130985242180.0,-3.6958028442054e+16,['ProgramacionDestacadaAgendaCultura']
11958618,La lengua madre,villa de vallecas,448550.0,4470424.0,4038281899948720.0,-3606140062044450.0,['TeatroPerformance']
11944337,La leyenda del chocolate y el origen del fuego,fuencarral-el pardo,441892.0,4485296.0,4051635495615330.0,-3685946562681170.0,['ComemoracionesHomenajes']
11292800,La literatura infantil,fuencarral-el pardo,438848.0,4482487.0,4049082275610170.0,-3.72160543300536e+16,['CursosTalleres']
11910202,La magia de Dream,villa de vallecas,448550.0,4470424.0,4038281899948720.0,-3606140062044450.0,['CircoMagia']
11896579,La maleta de los sentidos,fuencarral-el pardo,441233.0,4481384.0,4048106787416520.0,-3.6933504628706e+16,['CuentacuentosTiteresMarionetas']
10595799,La maleta de los sentidos,fuencarral-el pardo,438850.0,4481314.0,4048025613358830.0,-3.72146867779529e+16,['CuentacuentosTiteresMarionetas']
11896578,La maleta de los sentidos,fuencarral-el pardo,434105.0,4485730.0,4.05196733116586e+16,-3.77790556877265e+16,['CuentacuentosTiteresMarionetas']
11932584,La Maraña,vicalvaro,447278.0,4472321.0,4039982891410400.0,-3621281890570370.0,['DanzaBaile']
11941314,La Maraña,ciudad lineal,444202.0,4478162.0,4045224737965270.0,-3.65804022879119e+16,[]
11910468,La maternal,villa de vallecas,447107.0,4470075.0,4.03795846181621e+16,-3623110349262370.0,['CineActividadesAudiovisuales']
11953436,La maternal,san blas-canillejas,448023.0,4477305.0,4044477474902180.0,-3.61291058446337e+16,['CineActividadesAudiovisuales']
11943305,La música en los salones parisinos,arganzuela,440586.0,4471782.0,4.03945227451067e+16,-3.70008559615598e+16,['Musica']
11883799,La nube de Google. Taller de informática,hortaleza,444876.0,4479190.0,4046155641637230.0,-3.65017145804141e+16,['CursosTalleres']
11955781,La obra de Leila Slimani,retiro,442345.0,4474221.0,404166091081099.0,-3.67959303680348e+16,['RecitalesPresentacionesActosLiterarios']
11921771,La plaza mágica,usera,440472.0,4468702.0,4.03667683247534e+16,-3701141063083800.0,['CircoMagia']
11924066,La Reina del Arga,arganzuela,440723.0,4473051.0,4040596423138830.0,-3698601359753860.0,['ProgramacionDestacadaAgendaCultura']
11937055,La seta María,latina,433786.0,4470559.0,403829835905706.0,-3.78008905641066e+16,['TeatroPerformance']
11292790,La trama,fuencarral-el pardo,438848.0,4482487.0,4049082275610170.0,-3.72160543300536e+16,['CursosTalleres']
11931873,La venganza de Don Mendo,san blas-canillejas,449282.0,4477702.0,4.04484289257626e+16,-3.59809698881873e+16,['TeatroPerformance']
11938964,La venganza de Don Mendo,carabanchel,439136.0,4471474.0,4039164343238080.0,-3717140510927290.0,['TeatroPerformance']
11913919,La verdadera sabiduría: iluminar instantes,retiro,442345.0,4474221.0,404166091081099.0,-3.67959303680348e+16,['ConferenciasColoquios']
11958717,La vida no es así,villa de vallecas,447107.0,4470075.0,4.03795846181621e+16,-3623110349262370.0,['TeatroPerformance']
11953396,La voluntaria,san blas-canillejas,448023.0,4477305.0,4044477474902180.0,-3.61291058446337e+16,['CineActividadesAudiovisuales']
11914469,LaboratoriA - Arganzuela,arganzuela,440713.0,4471660.0,4.03934327561328e+16,-3.69857788029131e+16,['1ciudad21distritos']
11723055,Laboratorio artístico Escuela de invierno 2022/2023,centro,439759.0,4475508.0,4042802889001870.0,-3710182353581840.0,['ProgramacionDestacadaAgendaCultura']
11887550,Laboratorio de teatro. Por Mary Carmen Melero,fuencarral-el pardo,441386.0,4482508.0,4049120609425070.0,-3.69163796332191e+16,['CursosTalleres']
11959117,Las artes circenses en España,arganzuela,440723.0,4473051.0,4040596423138830.0,-3698601359753860.0,['ProgramacionDestacadaAgendaCultura']
11938338,Las aventuras de Tom Sawyer,puente de vallecas,443950.0,4469433.0,403735856436473.0,-3.66025460649053e+16,['CuentacuentosTiteresMarionetas']
11951895,Las aventuras espaciales de 0 y 99,arganzuela,440946.0,4471422.0,4039130985242180.0,-3.6958028442054e+16,[]
11930760,Las brujas de Macbeth,hortaleza,444516.0,4479119.0,4046088953531130.0,-3.65442101879694e+16,['TeatroPerformance']
11936940,Las canciones de la abuela,villaverde,441277.0,4466932.0,4035087114162280.0,-3691508909255180.0,['CuentacuentosTiteresMarionetas']
11932873,Las canciones de tu vida. Un recital  lírico teatral,vicalvaro,448357.0,4472920.0,4.0405292721436e+16,-3.60861612000171e+16,['Musica']
11663132,Las compositoras detra?s del jazz,fuencarral-el pardo,438848.0,4482487.0,4049082275610170.0,-3.72160543300536e+16,['ComemoracionesHomenajes']
11940819,Las Emociones Jugando Al Escondite,latina,436578.0,4473235.0,4.04073163281804e+16,-3747465416906970.0,['Exposiciones']
11883518,Las mujeres cuidamos la memoria,hortaleza,444876.0,4479190.0,4046155641637230.0,-3.65017145804141e+16,['CursosTalleres']
11941724,Las salidas del Mirabal. Visita a la exposición 'Leonora Carrington. Revelación'. Fundación Mapfre,tetuan,440328.0,4477957.0,4045012255255780.0,-3.70370478972679e+16,['ExcursionesItinerariosVisitas']
11944488,Las Sinsombrero en el Retiro,retiro,441967.0,4474495.0,4041906024374350.0,-3.68406153879269e+16,['TeatroPerformance']
11945658,Las tres naranjas mágicas,salamanca,443760.0,4474815.0,4042206601994430.0,-3662968075865230.0,['CuentacuentosTiteresMarionetas']
11954905,Las vacaciones de Yoko,san blas-canillejas,448023.0,4477305.0,4044477474902180.0,-3.61291058446337e+16,['CineActividadesAudiovisuales']
11942584,LAV,arganzuela,440946.0,4471422.0,4039130985242180.0,-3.6958028442054e+16,['ProgramacionDestacadaAgendaCultura']
11913733,Le Fumiste (Villa de Vallecas),villa de vallecas,448550.0,4470424.0,4038281899948720.0,-3606140062044450.0,['1ciudad21distritos']
11912865,Le Fumiste - Villa de Vallecas,vicalvaro,447278.0,4472321.0,4039982891410400.0,-3621281890570370.0,['1ciudad21distritos']
11958737,Leo y los colores,villa de vallecas,447107.0,4470075.0,4.03795846181621e+16,-3623110349262370.0,['TeatroPerformance']
11869587,"LeoLeos, ¿Qué lees?",arganzuela,440946.0,4471422.0,4039130985242180.0,-3.6958028442054e+16,[]
11912227,Letterpress: imprime tu cartel 1,san blas-canillejas,446636.0,4477644.0,4044774002225860.0,-3.62928745422916e+16,['CursosTalleres']
11678622,Let's practice english!,fuencarral-el pardo,439867.0,4481122.0,4047860087334550.0,-3.70944083429799e+16,['CursosTalleres']
11933168,Let´s talk in English (Taller de conversacion en Inglés).,usera,439248.0,4469889.0,4037738097077750.0,-3715659887802670.0,"['DanzaBaile', 'FolcloreEtnica']"
11905891,Lia Kali - Arganzuela,arganzuela,440713.0,4471660.0,4.03934327561328e+16,-3.69857788029131e+16,['1ciudad21distritos']
11743939,Libérate,salamanca,441476.0,4475151.0,4.04249263476107e+16,-3.68992085196634e+16,['CursosTalleres']
